Call_ID,Arrival_Time,Service_Start_Time,Service_End_Time,Waiting_Time,Service_Duration,Agent_ID,Queue_Length_On_Arrival
171,679,1885,1897.46,1206,12.46,3,224
172,692,1894,1914.66,1202,20.66,1,225
173,693,1898,1907.39,1205,9.39,3,227
174,700,1908,1936.85,1208,28.85,3,227
175,707,1915,1933.36,1208,18.36,1,228
176,719,1934,1937.28,1215,3.28,1,229
177,720,1937,2018.42,1217,81.42,3,228
178,723,1938,1952.49,1215,14.49,1,227
179,725,1944,2000.58,1219,56.58,2,227
180,728,1953,1973.31,1225,20.31,1,227
181,732,1974,2027.57,1242,53.57,1,229
182,733,2001,2022.15,1268,21.15,2,234
183,740,2019,2056.95,1279,37.95,3,237
184,744,2023,2055.32,1279,32.32,2,236
185,760,2028,2042.81,1268,14.81,1,235
186,762,2043,2083.76,1281,40.76,1,237
187,780,2056,2075.05,1276,19.05,2,239
188,786,2057,2059.95,1271,2.95,3,238
189,788,2060,2079.22,1272,19.22,3,238
190,790,2076,2083.4,1286,7.4,2,242
191,799,2080,2127.98,1281,47.98,3,241
192,801,2084,2153.38,1283,69.38,1,240
193,807,2084,2097.46,1277,13.46,2,239
194,810,2098,2178.41,1288,80.41,2,238
195,812,2128,2136.43,1316,8.43,3,245
196,826,2137,2148.15,1311,11.15,3,245
197,828,2149,2182.45,1321,33.45,3,246
198,834,2154,2199.44,1320,45.44,1,245
199,836,2179,2203.44,1343,24.44,2,250
200,840,2183,2192.9,1343,9.9,3,249
201,847,2193,2259.84,1346,66.84,3,248
202,849,2200,2221.57,1351,21.57,1,248
203,850,2204,2214.9,1354,10.9,2,249
204,851,2215,2233.0,1364,18.0,2,251
205,854,2222,2243.68,1368,21.68,1,250
206,861,2233,2260.39,1372,27.39,2,256
207,864,2244,2285.23,1380,41.23,1,256
208,868,2260,2275.97,1392,15.97,3,255
209,873,2261,2270.06,1388,9.06,2,254
210,882,2271,2332.37,1389,61.37,2,254
211,883,2276,2327.45,1393,51.45,3,254
212,889,2286,2367.69,1397,81.69,1,254
213,901,2328,2341.18,1427,13.18,3,258
214,902,2333,2334.57,1431,1.57,2,258
215,903,2335,2360.48,1432,25.48,2,257
216,905,2342,2365.2,1437,23.2,3,257
217,907,2361,2377.08,1454,16.08,2,260
218,909,2366,2389.13,1457,23.13,3,259
219,910,2368,2396.12,1458,28.12,1,258
220,917,2378,2398.75,1461,20.75,2,261
221,918,2390,2390.36,1472,0.36,3,263
222,931,2391,2412.98,1460,21.98,3,262
223,932,2397,2498.48,1465,101.48,1,261
224,936,2399,2404.68,1463,5.68,2,262
225,941,2405,2423.99,1464,18.99,2,261
226,947,2413,2434.48,1466,21.48,3,262
227,948,2424,2438.53,1476,14.53,2,263
228,949,2435,2465.53,1486,30.53,3,264
229,952,2439,2504.54,1487,65.54,2,263
230,956,2466,2487.5,1510,21.5,3,264
231,961,2488,2520.3,1527,32.3,3,267
232,968,2499,2515.93,1531,16.93,1,270
233,976,2505,2509.76,1529,4.76,2,269
234,979,2510,2518.05,1531,8.05,2,268
235,986,2516,2613.04,1530,97.04,1,268
236,987,2519,2583.22,1532,64.22,2,267
237,988,2521,2563.64,1533,42.64,3,267
238,989,2564,2619.94,1575,55.94,3,271
239,998,2584,2588.18,1586,4.18,2,274
240,999,2589,2591.93,1590,2.93,2,275
241,1010,2592,2656.27,1582,64.27,2,275
242,1015,2614,2621.95,1599,7.95,1,277
243,1019,2620,2630.0,1601,10.0,3,276
244,1022,2622,2683.87,1600,61.87,1,276
245,1027,2630,2675.91,1603,45.91,3,277
246,1030,2657,2658.84,1627,1.84,2,284
247,1036,2659,2703.09,1623,44.09,2,284
248,1052,2676,2708.95,1624,32.95,3,287
249,1061,2684,2701.47,1623,17.47,1,289
250,1068,2702,2712.35,1634,10.35,1,292
251,1069,2704,2729.46,1635,25.46,2,292
252,1072,2709,2717.29,1637,8.29,3,292
253,1073,2713,2742.6,1640,29.6,1,291
254,1074,2718,2718.61,1644,0.61,3,292
255,1080,2719,2808.59,1639,89.59,3,291
256,1089,2730,2851.16,1641,121.16,2,292
257,1103,2743,2808.45,1640,65.45,1,293
258,1104,2809,2821.82,1705,12.82,1,310
259,1105,2809,2810.72,1704,1.72,3,309
260,1114,2811,2838.63,1697,27.63,3,308
261,1122,2822,2840.25,1700,18.25,1,307
262,1127,2839,2849.59,1712,10.59,3,309
263,1128,2841,2864.63,1713,23.63,1,308
264,1131,2850,2880.98,1719,30.98,3,311
265,1136,2852,2857.98,1716,5.98,2,311
266,1137,2858,2859.82,1721,1.82,2,311
267,1138,2860,2943.68,1722,83.68,2,310
268,1144,2865,2892.5,1721,27.5,1,313
269,1148,2881,2883.61,1733,2.61,3,315
270,1149,2884,2914.2,1735,30.2,3,315
271,1155,2893,2916.07,1738,23.07,1,314
272,1168,2915,2919.99,1747,4.99,3,320
273,1170,2917,2996.03,1747,79.03,1,319
274,1172,2920,2928.38,1748,8.38,3,318
275,1173,2929,2938.24,1756,9.24,3,317
276,1177,2939,2990.92,1762,51.92,3,319
277,1186,2944,3018.98,1758,74.98,2,319
278,1187,2991,2998.48,1804,7.48,3,327
279,1188,2997,3035.75,1809,38.75,1,326
280,1191,2999,3015.2,1808,16.2,3,325
281,1195,3016,3018.27,1821,2.27,3,328
282,1199,3019,3050.27,1820,31.27,2,328
283,1207,3019,3137.54,1812,118.54,3,327
284,1211,3036,3038.63,1825,2.63,1,331
285,1215,3039,3066.6,1824,27.6,1,331
286,1218,3051,3069.91,1833,18.91,2,336
287,1226,3067,3089.14,1841,22.14,1,338
288,1227,3070,3074.2,1843,4.2,2,337
289,1231,3075,3137.93,1844,62.93,2,338
290,1241,3090,3100.79,1849,10.79,1,344
291,1243,3101,3131.36,1858,30.36,1,343
292,1244,3132,3153.98,1888,21.98,1,349
293,1269,3138,3168.52,1869,30.52,2,348
294,1271,3138,3138.04,1867,0.04,3,347
295,1307,3139,3222.57,1832,83.57,3,346
296,1318,3154,3291.09,1836,137.09,1,349
297,1325,3169,3200.48,1844,31.48,2,351
298,1327,3201,3204.86,1874,3.86,2,353
299,1338,3205,3247.69,1867,42.69,2,352
300,1343,3223,3228.91,1880,5.91,3,352
301,1347,3229,3296.01,1882,67.01,3,355
302,1349,3248,3299.45,1899,51.45,2,355
303,1352,3292,3294.58,1940,2.58,1,363
304,1380,3295,3318.18,1915,23.18,1,362
305,1381,3297,3300.88,1916,3.88,3,361
306,1397,3300,3325.26,1903,25.26,2,361
307,1399,3301,3332.95,1902,31.95,3,360
308,1400,3319,3364.23,1919,45.23,1,362
309,1407,3326,3329.54,1919,3.54,2,363
310,1413,3330,3380.86,1917,50.86,2,362
311,1414,3333,3333.23,1919,0.23,3,361
312,1423,3334,3412.69,1911,78.69,3,360
313,1424,3365,3375.43,1941,10.43,1,365
314,1439,3376,3418.5,1937,42.5,1,372
315,1440,3381,3423.45,1941,42.45,2,371
316,1442,3413,3433.02,1971,20.02,3,375
317,1443,3419,3424.62,1976,5.62,1,375
318,1448,3424,3447.12,1976,23.12,2,375
319,1450,3425,3432.53,1975,7.53,1,374
320,1464,3433,3433.3,1969,0.3,1,377
321,1482,3434,3455.2,1952,21.2,1,376
322,1484,3434,3443.49,1950,9.49,3,375
323,1485,3444,3452.9,1959,8.9,3,375
324,1490,3448,3463.69,1958,15.69,2,374
325,1492,3453,3471.91,1961,18.91,3,375
326,1507,3456,3476.6,1949,20.6,1,375
327,1508,3464,3511.0,1956,47.0,2,374
328,1527,3472,3487.33,1945,15.33,3,377
329,1528,3477,3530.06,1949,53.06,1,376
330,1530,3488,3494.84,1958,6.84,3,380
331,1533,3495,3558.41,1962,63.41,3,379
332,1547,3511,3538.6,1964,27.6,2,384
333,1578,3531,3556.45,1953,25.45,1,390
334,1580,3539,3553.64,1959,14.64,2,389
335,1589,3554,3641.07,1965,87.07,2,390
336,1594,3557,3564.46,1963,7.46,1,389
337,1596,3559,3636.43,1963,77.43,3,388
338,1599,3565,3576.0,1966,11.0,1,388
339,1606,3577,3592.85,1971,15.85,1,391
340,1607,3593,3595.53,1986,2.53,1,392
341,1613,3596,3618.89,1983,22.89,1,392
